stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
8,tour,0,12,10,0.00,true,0.27663,0.00500,0.00006,1.72344,0.00500,0.1652,0.6333,0.1966,0.10829,0.00478
8,tour,0,12,10,0.10,true,0.34625,0.00532,0.00013,1.65388,0.00532,0.2103,0.4166,0.2144,0.03874,0.00379
8,tour,0,12,10,0.20,true,0.37888,0.00542,0.00045,1.62157,0.00543,0.2710,0.2324,0.2665,0.00643,0.00253
8,tour,0,12,10,0.30,true,0.38612,0.00544,0.00127,1.61514,0.00545,0.3453,0.1155,0.3421,0.00000,0.00000
8,tour,0,12,10,0.40,true,0.38262,0.00543,0.00304,1.62041,0.00546,0.4282,0.0480,0.4315,0.00527,0.00218
8,tour,0,12,10,0.50,true,0.36538,0.00538,0.00654,1.64117,0.00544,0.5207,0.0209,0.5268,0.02602,0.00285
8,tour,0,12,10,0.60,true,0.34775,0.00532,0.01245,1.66470,0.00543,0.6159,0.0086,0.6238,0.04955,0.00323
8,tour,0,12,10,0.70,true,0.32925,0.00525,0.02139,1.69214,0.00543,0.7135,0.0022,0.7229,0.07700,0.00357
8,tour,0,12,10,0.80,true,0.30888,0.00517,0.03377,1.72490,0.00544,0.8136,0.0013,0.8220,0.10975,0.00388
8,tour,0,12,10,0.90,true,0.29237,0.00509,0.04937,1.75700,0.00547,0.9133,0.0009,0.9211,0.14185,0.00412
8,tour,0,12,10,1.00,true,0.27037,0.00497,0.06885,1.79848,0.00547,1.0137,0.0000,1.0215,0.18333,0.00442
8,tour,0,12,10,1.10,true,0.25225,0.00486,0.09107,1.83883,0.00550,1.1143,0.0000,1.1216,0.22368,0.00466
8,tour,0,12,10,1.20,true,0.23037,0.00471,0.11682,1.88645,0.00549,1.2157,0.0000,1.2225,0.27131,0.00491
8,tour,0,12,15,0.00,true,0.15525,0.00405,0.00096,1.84571,0.00405,0.2410,0.5756,0.2873,0.06187,0.00413
8,tour,0,12,15,0.10,true,0.18575,0.00435,0.00132,1.81557,0.00436,0.2919,0.4467,0.3021,0.03172,0.00354
8,tour,0,12,15,0.20,true,0.20825,0.00454,0.00247,1.79422,0.00456,0.3432,0.3139,0.3404,0.01038,0.00281
8,tour,0,12,15,0.30,true,0.21838,0.00462,0.00476,1.78638,0.00465,0.4088,0.2170,0.3973,0.00254,0.00195
8,tour,0,12,15,0.40,true,0.22475,0.00467,0.00859,1.78384,0.00473,0.4776,0.1356,0.4701,0.00000,0.00000
8,tour,0,12,15,0.50,true,0.22337,0.00466,0.01450,1.79112,0.00476,0.5539,0.0781,0.5536,0.00728,0.00177
8,tour,0,12,15,0.60,true,0.21788,0.00462,0.02297,1.80509,0.00477,0.6387,0.0443,0.6435,0.02125,0.00235
8,tour,0,12,15,0.70,true,0.21063,0.00456,0.03437,1.82375,0.00479,0.7291,0.0234,0.7384,0.03990,0.00275
8,tour,0,12,15,0.80,true,0.19925,0.00447,0.04875,1.84950,0.00479,0.8224,0.0122,0.8344,0.06566,0.00307
8,tour,0,12,15,0.90,true,0.18625,0.00435,0.06624,1.87999,0.00478,0.9192,0.0072,0.9314,0.09615,0.00336
8,tour,0,12,15,1.00,true,0.17350,0.00423,0.08695,1.91345,0.00477,1.0188,0.0044,1.0310,0.12961,0.00363
8,tour,0,12,15,1.10,true,0.16237,0.00412,0.10987,1.94750,0.00478,1.1167,0.0024,1.1291,0.16366,0.00383
8,tour,0,12,15,1.20,true,0.14763,0.00397,0.13585,1.98824,0.00473,1.2166,0.0016,1.2285,0.20439,0.00409
8,tour,0,12,20,0.00,true,0.10050,0.00336,0.00415,1.90365,0.00338,0.3230,0.5443,0.3774,0.02365,0.00297
8,tour,0,12,20,0.10,true,0.11513,0.00357,0.00524,1.89011,0.00360,0.3665,0.4393,0.3915,0.01012,0.00248
8,tour,0,12,20,0.20,true,0.12600,0.00371,0.00778,1.88178,0.00375,0.4207,0.3438,0.4251,0.00178,0.00169
8,tour,0,12,20,0.30,true,0.13200,0.00378,0.01199,1.87999,0.00385,0.4766,0.2558,0.4737,0.00000,0.00000
8,tour,0,12,20,0.40,true,0.13350,0.00380,0.01802,1.88452,0.00391,0.5410,0.1868,0.5346,0.00453,0.00160
8,tour,0,12,20,0.50,true,0.13350,0.00380,0.02620,1.89270,0.00396,0.6081,0.1268,0.6068,0.01271,0.00218
8,tour,0,12,20,0.60,true,0.13187,0.00378,0.03696,1.90509,0.00400,0.6852,0.0860,0.6875,0.02509,0.00252
8,tour,0,12,20,0.70,true,0.12925,0.00375,0.05031,1.92107,0.00405,0.7670,0.0547,0.7754,0.04107,0.00283
8,tour,0,12,20,0.80,true,0.12212,0.00366,0.06662,1.94450,0.00405,0.8540,0.0335,0.8676,0.06451,0.00313
8,tour,0,12,20,0.90,true,0.11450,0.00356,0.08532,1.97082,0.00405,0.9434,0.0191,0.9616,0.09083,0.00333
8,tour,0,12,20,1.00,true,0.10562,0.00344,0.10665,2.00104,0.00403,1.0378,0.0117,1.0573,0.12105,0.00353
8,tour,0,12,20,1.10,true,0.09888,0.00334,0.13020,2.03134,0.00403,1.1354,0.0074,1.1555,0.15135,0.00373
8,tour,0,12,20,1.20,true,0.08950,0.00319,0.15616,2.06668,0.00399,1.2325,0.0036,1.2539,0.18669,0.00393
8,scratch,0,12,10,0.00,true,0.24250,0.00479,0.00024,1.75774,0.00479,0.1773,0.6183,0.2115,0.08627,0.00457
8,scratch,0,12,10,0.10,true,0.29738,0.00511,0.00049,1.70311,0.00511,0.2219,0.4163,0.2295,0.03165,0.00357
8,scratch,0,12,10,0.20,true,0.32725,0.00525,0.00127,1.67402,0.00526,0.2803,0.2428,0.2791,0.00256,0.00239
8,scratch,0,12,10,0.30,true,0.33163,0.00526,0.00309,1.67147,0.00529,0.3530,0.1330,0.3504,0.00000,0.00000
8,scratch,0,12,10,0.40,true,0.32775,0.00525,0.00669,1.67894,0.00530,0.4342,0.0632,0.4370,0.00748,0.00210
8,scratch,0,12,10,0.50,true,0.31538,0.00520,0.01279,1.69742,0.00530,0.5237,0.0274,0.5313,0.02595,0.00280
8,scratch,0,12,10,0.60,true,0.30088,0.00513,0.02220,1.72133,0.00531,0.6177,0.0122,0.6274,0.04987,0.00318
8,scratch,0,12,10,0.70,true,0.28525,0.00505,0.03533,1.75008,0.00532,0.7132,0.0045,0.7243,0.07862,0.00348
8,scratch,0,12,10,0.80,true,0.26613,0.00494,0.05285,1.78673,0.00534,0.8127,0.0019,0.8236,0.11526,0.00382
8,scratch,0,12,10,0.90,true,0.24875,0.00483,0.07390,1.82516,0.00536,0.9119,0.0010,0.9223,0.15369,0.00407
8,scratch,0,12,10,1.00,true,0.23225,0.00472,0.09826,1.86603,0.00539,1.0119,0.0007,1.0216,0.19456,0.00432
8,scratch,0,12,10,1.10,true,0.21550,0.00460,0.12584,1.91037,0.00542,1.1134,0.0000,1.1230,0.23891,0.00459
8,scratch,0,12,10,1.20,true,0.19550,0.00443,0.15601,1.96055,0.00539,1.2144,0.0000,1.2236,0.28908,0.00486
